business_id,city,state,latitude,longitude,categories,checkin_count
bBDDEgkFA1Otx9Lfe7BZUQ,Nashville,TN,36.2081024,-86.7681696,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food",21
4iRzR7OaS-QaSXuvYxEGKA,Nashville,TN,36.2485696,-86.7199857,"Hot Dogs, Restaurants",39
tMkwHmWFUEXrC9ZduonpTg,Nashville,TN,36.1598858,-86.7731974,"Restaurants, Japanese, Seafood",96
lk9IwjZXqUMqqOhM774DtQ,Nashville,TN,36.1483712,-86.7988947,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners",204
B2qqjCl_BNNnXvWWfpFiLA,Nashville,TN,36.1036135,-86.8162678,"Shopping, Baby Gear & Furniture, Home Decor, Furniture Stores, Home & Garden",13
oaboaRBUgGjbo2kfUIKDLQ,Nashville,TN,36.1626492,-86.7759733,"Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food",1539
txiXR1YfMyk-5S4ZzOVIhQ,Nashville,TN,36.1676590439,-86.6582959,"Title Loans, Installment Loans, Financial Services, Check Cashing/Pay-day Loans",4
yv6kSKxDdZTsvHL25K-U2g,Nashville,TN,36.142642,-86.7708619,"Painters, Home Services, Decks & Railing, Contractors, Pressure Washers",0
X_E7U2lVNEwbH_gpOBmAHQ,Nashville,TN,36.162799,-86.776016,"Nightlife, Restaurants, Bars, Mexican",383
G4lRmwDHdvhZAhmtlsYYBw,Nashville,TN,36.112075744,-86.7674462724,"Burgers, Restaurants, Fast Food",62
zs4d4DqSp5zh3HGFh-PiiQ,Nashville,TN,36.0982798,-86.8714149,"Event Planning & Services, Caterers",9
ORL4JE6tz3rJxVqkdKfegA,Nashville,TN,36.2115923083,-86.6943191727,"Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas",4582
Nh1rc9aSeO-Y5lYmXVS6CA,Nashville,TN,36.1688337591,-86.766910851,"Hotels & Travel, Event Planning & Services, Hotels",17
rYOrSXy2I4BcxB7dhg29uA,Nashville,TN,36.107591,-86.813774,"Shopping, Furniture Stores, Home & Garden",83
1dSKEitDDgIkaApe6UNMSA,Nashville,TN,36.1530043,-86.8433279,"Caribbean, Food, Restaurants, Food Trucks",8
ZiJfb924ewMO9S2f-9W9Pw,Nashville,TN,36.1397600339,-86.7380914652,"Towing, Automotive",2
TO5-F6Rgt-_sYvRT9Cta-w,Nashville,TN,36.203404,-86.694768,"Home & Garden, Kitchen & Bath, Shopping, Specialty Food, Food, Candy Stores",7
wRBEBZ6TvMTuwosvBa72xQ,Nashville,TN,36.0431449,-86.7447411,"Hair Salons, Eyebrow Services, Waxing, Hair Extensions, Hair Stylists, Beauty & Spas, Hair Removal, Eyelash Service, Makeup Artists",2
42OM20QndpmsOSY6ccudBA,Nashville,TN,36.1648001,-86.7799287,"Bagels, Restaurants, Caterers, Sandwiches, Event Planning & Services, Delis, Food",3
d45ejuYD188Yzyxz6cCu-g,Nashville,TN,36.1433929232,-86.8141224616,"Home & Garden, Home Decor, Mattresses, Shopping, Furniture Stores",15
oSp8B87eQ8droCGiWUERZA,Nashville,TN,36.1431224,-86.79351,"Hair Salons, Massage, Beauty & Spas, Barbers",81
jKb0H78PubnEMa5JoXdnvw,Nashville,TN,36.044073,-86.955886,"Dry Cleaning, Local Services, Laundry Services, Dry Cleaning & Laundry",2
